dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,p_at_10,recall_at_10,p_at_15,recall_at_15,p_at_20,recall_at_20,ap,auc
1year.arff,6,BalancedRF,External ML baseline,run_external_baselines.py,0.7816931286438008,0.6790123456790124,0.8999013806706114,0.2131782945736434,0.3244837758112094,0.2470799640610961,0.4725085910652921,0.7894568631748119,0.1000986193293885,0.1223328591749644,55.0,203.0,1825.0,26.0,0.2132701421800948,0.5555555555555556,0.1829652996845426,0.7160493827160493,0.1445497630331753,0.7530864197530864,0.2433888911772795,0.8451402586017971
1year.arff,6,EasyEnsemble,External ML baseline,run_external_baselines.py,0.7590975490999835,0.6296296296296297,0.9151873767258384,0.2286995515695067,0.3355263157894737,0.2620760534429599,0.4661791590493601,0.7724085031777339,0.0848126232741617,0.105737316263632,51.0,172.0,1856.0,30.0,0.2322274881516587,0.6049382716049383,0.1861198738170347,0.7283950617283951,0.1540284360189573,0.8024691358024691,0.3269504785203621,0.8917287603185039
1year.arff,6,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6959866723383874,0.5802469135802469,0.8348126232741617,0.1230366492146596,0.203023758099352,0.1460534493474207,0.3328611898016997,0.7075297684272044,0.1651873767258382,0.1811284969179706,47.0,335.0,1693.0,34.0,0.1706161137440758,0.4444444444444444,0.1451104100946372,0.5679012345679012,0.1161137440758293,0.6049382716049383,0.1529269775377937,0.8045237051647308
1year.arff,6,HistGB,External ML baseline,run_external_baselines.py,0.7931927860372046,0.654320987654321,0.9615384615384616,0.4045801526717557,0.5,0.4380165289256198,0.5824175824175825,0.8079297245963912,0.0384615384615384,0.0621147463252726,53.0,78.0,1950.0,28.0,0.2748815165876777,0.7160493827160493,0.2050473186119873,0.8024691358024691,0.1658767772511848,0.8641975308641975,0.6106595698157887,0.91648403827891
1year.arff,6,LR_balanced,External ML baseline,run_external_baselines.py,0.7231277722854565,0.7160493827160493,0.730276134122288,0.0958677685950413,0.1690962099125364,0.1159536185525789,0.3121636167922497,0.7231627584191687,0.269723865877712,0.2868658131816026,58.0,547.0,1481.0,23.0,0.1943127962085308,0.5061728395061729,0.1545741324921135,0.6049382716049383,0.1255924170616113,0.654320987654321,0.180309151598764,0.7837192879927922
1year.arff,6,RF_balanced,External ML baseline,run_external_baselines.py,0.7238345764205825,0.5679012345679012,0.9225838264299804,0.2266009852216748,0.323943661971831,0.257558790593505,0.4364326375711575,0.7452425304989407,0.0774161735700197,0.0962541488857278,46.0,157.0,1871.0,35.0,0.2227488151658767,0.5802469135802469,0.1798107255520504,0.7037037037037037,0.1492890995260663,0.7777777777777778,0.311764588503408,0.8704525531448608
1year.arff,7,BalancedRF,External ML baseline,run_external_baselines.py,0.6106178153672394,0.4074074074074074,0.9151873767258384,0.1609756097560975,0.2307692307692307,0.1831298557158712,0.3119092627599243,0.6612973920666229,0.0848126232741617,0.0972024656235182,33.0,172.0,1856.0,48.0,0.1563981042654028,0.4074074074074074,0.1293375394321766,0.5061728395061729,0.1042654028436018,0.5432098765432098,0.1873986830365397,0.7584222124820416
1year.arff,7,EasyEnsemble,External ML baseline,run_external_baselines.py,0.619957683754847,0.3950617283950617,0.972879684418146,0.367816091954023,0.3809523809523809,0.372960372960373,0.389294403892944,0.6839707064066038,0.027120315581854,0.0412517780938833,32.0,55.0,1973.0,49.0,0.2037914691943128,0.5308641975308642,0.1545741324921135,0.6049382716049383,0.1279620853080568,0.6666666666666666,0.3632471610228159,0.8408515352959797
1year.arff,7,ExtraTrees_balanced,External ML baseline,run_external_baselines.py,0.6457282398192001,0.5679012345679012,0.7342209072978304,0.0786324786324786,0.1381381381381381,0.0950020652622883,0.253025302530253,0.6510610709328658,0.2657790927021696,0.2773826458036984,46.0,539.0,1489.0,35.0,0.1232227488151658,0.3209876543209876,0.1041009463722397,0.4074074074074074,0.0947867298578199,0.4938271604938271,0.1534836521118916,0.7090273212068083
1year.arff,7,HistGB,External ML baseline,run_external_baselines.py,0.7446205646025471,0.5679012345679012,0.9763313609467456,0.4893617021276595,0.5257142857142857,0.5032822757111597,0.5502392344497608,0.7721162977573234,0.0236686390532544,0.0445708866761498,46.0,48.0,1980.0,35.0,0.2654028436018957,0.691358024691358,0.195583596214511,0.7654320987654321,0.1492890995260663,0.7777777777777778,0.5634164999807673,0.8850293422942996
