"dataset","optimizer","seed","ensemble_size","neg_pos_ratio","feature_mode","risk_feature","score_blend_alpha","auto_blend","evals","val_loss","val_gmean","val_sensitivity","val_specificity","val_f2","val_ap","test_gmean","test_sensitivity","test_specificity","test_precision","test_f1","test_f05","test_f2","test_mcc","test_triad_score","test_balanced_accuracy","test_fpr","test_predicted_positive_rate","test_tp","test_fp","test_tn","test_fn","test_p_at_10","test_recall_at_10","test_p_at_15","test_recall_at_15","test_p_at_20","test_recall_at_20","test_ap","test_auc","test_threshold","test_feature_count","test_C","test_gamma","test_cost_pos","test_blend_alpha","selected_features"
"2year.arff","PBMSBAINGO","1","1","3.0","binary","histgb","0.05","False","704.0","0.30360449873925155","0.797834175383118","0.6545454545454545","0.9724907063197026","0.6143344709897611","0.6092459889819619","0.7490501033300591","0.575","0.9757844474761255","0.4928571428571429","0.5307692307692308","0.5073529411764706","0.5564516129032258","0.51167543967047","0.6596882812545388","0.7753922237380627","0.024215552523874487","0.045871559633027525","69.0","71.0","2861.0","51.0","0.2549019607843137","0.65","0.18340611353711792","0.7","0.14238952536824878","0.725","0.5471135042739067","0.8559402000909505","0.03743962022073085","6.0","63.85886146522441","0.03088829798829243","17.730387676205698","0.05","[4, 27, 41, 42, 53, 65]"
"2year.arff","PBMSBAINGO","2","1","3.0","binary","histgb","0.05","False","702.0","0.37163015795246784","0.8132063051660039","0.7272727272727273","0.9092936802973978","0.5235602094240838","0.44229883053743313","0.7261048723045154","0.5833333333333334","0.9038199181446112","0.19886363636363635","0.2966101694915254","0.22905759162303665","0.4206730769230769","0.2964046398867977","0.5386349956864588","0.7435766257389722","0.09618008185538882","0.11533420707732635","70.0","282.0","2650.0","50.0","0.22549019607843138","0.575","0.1703056768558952","0.65","0.1309328968903437","0.6666666666666666","0.41230160424938617","0.771573726693952","0.025974056654403964","7.0","7.620714502393187","3.7944922722306043","0.2577487088814642","0.05","[14, 23, 28, 39, 45, 51, 65]"
"2year.arff","PBMSBAINGO","3","1","3.0","binary","histgb","0.05","False","709.0","0.3614368800455724","0.7510542325895239","0.5818181818181818","0.9695167286245353","0.5460750853242321","0.4982258418146889","0.7197594464506101","0.5333333333333333","0.9713506139154161","0.43243243243243246","0.47761194029850745","0.449438202247191","0.5095541401273885","0.4566284152223911","0.6184613443248156","0.7523419736243747","0.0286493860845839","0.04849279161205767","64.0","84.0","2848.0","56.0","0.24183006535947713","0.6166666666666667","0.1812227074235808","0.6916666666666667","0.13911620294599017","0.7083333333333334","0.5350151844187199","0.8368207139608914","0.036369112284422335","18.0","129.86662178942623","0.06199596320470527","7.223438075577756","0.05","[5, 12, 13, 14, 15, 16, 20, 24, 26, 27, 31, 35, 37, 39, 41, 56, 60, 65]"
"2year.arff","PBMSBAINGO","4","1","3.0","binary","histgb","0.05","False","706.0","0.2860808541051659","0.8278687564655002","0.7090909090909091","0.966542750929368","0.6414473684210527","0.6090393148541979","0.7572298189029164","0.6","0.9556616643929059","0.3564356435643564","0.4472049689440994","0.3879310344827586","0.5278592375366569","0.4343951089843439","0.6291875406731904","0.7778308321964529","0.04433833560709413","0.06618610747051114","72.0","130.0","2802.0","48.0","0.25163398692810457","0.6416666666666667","0.1943231441048035","0.7416666666666667","0.14566284779050737","0.7416666666666667","0.5320656915653276","0.856286948613006","0.027620445531826285","7.0","9.603473643763984","0.12250862818607121","0.4127748351614828","0.05","[8, 15, 21, 38, 57, 64, 65]"
"2year.arff","PBMSBAINGO","5","1","3.0","binary","histgb","0.05","False","703.0","0.24173940755815032","0.8348444112185732","0.7090909090909091","0.9828996282527881","0.6914893617021277","0.6908578317414191","0.7436023939152369","0.5666666666666667","0.9757844474761255","0.4892086330935252","0.525096525096525","0.5029585798816568","0.5492730210016155","0.5056564706806891","0.6539015636346921","0.7712255570713961","0.024215552523874487","0.04554390563564875","68.0","71.0","2861.0","52.0","0.238562091503268","0.6083333333333333","0.1615720524017467","0.6166666666666667","0.1309328968903437","0.6666666666666666","0.5200260802594311","0.8033992723965437","0.045795003491183185","17.0","0.03364845084664318","0.6166851324608474","199.52623149688787","0.05","[5, 7, 15, 18, 19, 20, 22, 27, 32, 42, 44, 46, 53, 54, 57, 61, 65]"
"2year.arff","PBMSBAINGO","6","1","3.0","binary","histgb","0.05","False","698.0","0.3779546856210044","0.7171721720052651","0.5272727272727272","0.9754646840148699","0.5141843971631206","0.44328587901619276","0.703797033068663","0.5083333333333333","0.9744201909959073","0.4485294117647059","0.4765625","0.45933734939759036","0.49512987012987014","0.4547103556556326","0.6084289955534644","0.7413767621646203","0.02557980900409277","0.04456094364351245","61.0","75.0","2857.0","59.0","0.238562091503268","0.6083333333333333","0.16593886462882096","0.6333333333333333","0.132569558101473","0.675","0.48216384811366014","0.8567843337880856","0.033544119627315884","4.0","0.0677024875989043","0.737203361669777","3.4884253032242345","0.05","[19, 21, 63, 65]"
"2year.arff","PBMSBAINGO","7","1","3.0","binary","histgb","0.05","False","704.0","0.32453689576144995","0.8277054526358287","0.7272727272727273","0.9420074349442379","0.591715976331361","0.5042320461455555","0.7191471187766434","0.55","0.9403137789904502","0.27385892116182575","0.3656509695290859","0.3044280442804428","0.4576976421636616","0.35335216781023593","0.5674763280446182","0.7451568894952252","0.059686221009549796","0.07896461336828309","66.0","175.0","2757.0","54.0","0.23529411764705882","0.6","0.18340611353711792","0.7","0.14566284779050737","0.7416666666666667","0.44540432447728984","0.8520236471123238","0.027451708230945233","5.0","3.4690994584137913","0.004109269004382954","9.331711705511673","0.05","[5, 46, 51, 59, 65]"
"2year.arff","PBMSBAINGO","8","1","3.0","binary","histgb","0.05","False","703.0","0.37622854140700285","0.8195977384398364","0.7454545454545455","0.9011152416356877","0.5203045685279187","0.4725985248071681","0.7820170745360028","0.6833333333333333","0.8949522510231923","0.21025641025641026","0.3215686274509804","0.24404761904761904","0.47126436781609193","0.3366500188846084","0.5904779774530831","0.7891427921782628","0.10504774897680765","0.12778505897771952","82.0","308.0","2624.0","38.0","0.2581699346405229","0.6583333333333333","0.185589519650655","0.7083333333333334","0.14729950900163666","0.75","0.4777457702027858","0.8439972714870396","0.036013746151051164","24.0","42.416872481245356","0.0029480817877816563","99.53582869120426","0.05","[1, 5, 6, 13, 14, 17, 19, 21, 22, 24, 26, 34, 36, 39, 42, 43, 44, 45, 48, 52, 54, 56, 63, 65]"
"2year.arff","PBMSBAINGO","9","1","3.0","binary","histgb","0.05","False","700.0","0.3498132787093558","0.8273379011647032","0.7454545454545455","0.9182156133828996","0.5525606469002695","0.4821323011870926","0.762414309813899","0.6333333333333333","0.9178035470668485","0.23974763406940064","0.34782608695652173","0.2737752161383285","0.4767879548306148","0.35109430360090393","0.5887559200689759","0.7755684402000909","0.08219645293315143","0.10386631716906947","76.0","241.0","2691.0","44.0","0.24509803921568626","0.625","0.185589519650655","0.7083333333333334","0.15057283142389524","0.7666666666666667","0.5423902295553427","0.84956230104593","0.017321998182561162","6.0","13.098725046976643","0.0035809572728837695","1.0802602258437541","0.05","[4, 5, 25, 38, 48, 65]"
"2year.arff","PBMSBAINGO","10","1","3.0","binary","histgb","0.05","False","706.0","0.37821370547699523","0.7171721720052651","0.5272727272727272","0.9754646840148699","0.5141843971631206","0.47892235495556873","0.6944609669097063","0.49166666666666664","0.9809004092769441","0.5130434782608696","0.502127659574468","0.5086206896551724","0.4957983193277311","0.4823198916997363","0.6150025996399412","0.7362835379718053","0.019099590723055934","0.03768020969855832","59.0","56.0","2876.0","61.0","0.24836601307189543","0.6333333333333333","0.17467248908296942","0.6666666666666666","0.13747954173486088","0.7","0.5227537759300365","0.8201114142792177","0.05887934371211096","6.0","36.19089063028422","0.21555410364158117","28.225902403142353","0.05","[1, 5, 12, 18, 39, 65]"
