dataset,seed,method,category,source,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,ap,auc,feature_count,features,alpha
1year.arff,3,INGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6425148892522671,0.5061728395061729,0.8155818540433925,0.0987951807228915,0.1653225806451612,0.1177484204480183,0.2774018944519621,0.1555323107031097,0.4004322114005153,0.6608773467747826,0.1598179880401375,0.7495434290306084,7.0,7.0,
1year.arff,3,LR_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6588176636636603,0.5061728395061729,0.8574950690335306,0.1242424242424242,0.1995133819951338,0.1463240542469664,0.3134556574923547,0.1923696344465414,0.437074694782213,0.6818339542698517,0.1296997399436453,0.7582608907395232,,,
1year.arff,3,MSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5795812981917433,0.382716049382716,0.8777120315581854,0.1111111111111111,0.1722222222222222,0.1294903926482873,0.2570480928689884,0.1477190986321499,0.3674699174965376,0.6302140404704507,0.1866494882933539,0.7404911486108068,12.0,12.0,
1year.arff,3,NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5670732449708844,0.382716049382716,0.8402366863905325,0.0873239436619718,0.1422018348623853,0.1032644903397734,0.2282768777614138,0.1145144573717488,0.332694952054482,0.6114763678866243,0.1575223619162246,0.730470937735895,11.0,11.0,
1year.arff,3,PBMSBAINGO-HGBKELM(F2-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.607829933806807,0.3703703703703703,0.997534516765286,0.8571428571428571,0.5172413793103449,0.6787330316742082,0.4178272980501393,0.5534439489499677,0.5891319874809351,0.6839524435678281,0.5847782901396382,0.8771093578785887,5.0,5.0,
1year.arff,3,PBMSBAINGO-HGBKELM(MCC-guarded),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6181827410892919,0.382716049382716,0.9985207100591716,0.9117647058823528,0.5391304347826087,0.7142857142857143,0.4329608938547486,0.5817317198724128,0.6057854419657703,0.6906183797209439,0.5835335759893772,0.8860703241045121,,5.0,
1year.arff,3,PBMSBAINGO-HGBKELM(Sensitivity-mode),Proposed hybrid optimized KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.7244608673681566,0.5308641975308642,0.9886587771203156,0.6515151515151515,0.5850340136054422,0.6231884057971014,0.5512820512820513,0.5734229777033015,0.6701442848997735,0.7597614873255899,0.5707834435530615,0.8681240412009642,4.0,4.0,
1year.arff,3,PBMSBAINGO-HGBKELM(Triad-mode),Proposed hybrid optimized KELM,formal_pbmsbaingo_hgbkelm_triad_alpha005_10seed_complete.csv,0.709526127832442,0.5061728395061729,0.9945759368836292,0.7884615384615384,0.6165413533834586,0.7093425605536332,0.5452127659574468,0.6205511200856395,0.6785337430911469,0.750374388194901,0.6377170414032111,0.8940390094236248,4.0,4.0,0.05
1year.arff,3,PBMSBAINGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6395995532946909,0.4938271604938271,0.8284023668639053,0.1030927835051546,0.1705756929637526,0.1224739742804654,0.2808988764044944,0.1598216172778409,0.4028567160607598,0.6611147636788662,0.1014031970025211,0.7165911802663939,7.0,7.0,
1year.arff,3,RF_balanced,External ML baseline,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.6403320083872521,0.419753086419753,0.9768244575936884,0.419753086419753,0.419753086419753,0.419753086419753,0.419753086419753,0.3965775440134415,0.5458158972584226,0.6982887720067208,0.4176211107385472,0.8765036403925294,,,
1year.arff,3,TIS_NGO-KELM,Optimizer-KELM,formal_multiseed_10seed_full_with_tisngo_mcc_variants.csv,0.5869654619335046,0.4074074074074074,0.8456607495069034,0.0953757225433526,0.1545667447306791,0.1126279863481228,0.2462686567164179,0.1313257172320518,0.35633484429746903,0.6265340784571554,0.1264517233050748,0.7335999707794579,8.0,8.0,
