metric,method_a,method_b,rank_a,rank_b,rank_diff,critical_difference,significant
f2,PBMSBAINGO-HGBKELM(F2-mode),MSBAINGO-KELM,3.2,11.6,8.399999999999999,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),ExtraTrees_balanced,2.6,10.6,8.0,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),LR_balanced,3.2,11.2,7.999999999999999,10.316121029759566,False
f2,EasyEnsemble,INGO-KELM,6.2,14.2,7.999999999999999,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),BAINGO-KELM,4.0,11.8,7.800000000000001,10.316121029759566,False
f2,HistGB,BAINGO-KELM,4.2,11.8,7.6000000000000005,10.316121029759566,False
f2,EasyEnsemble,TIS_NGO-KELM,6.2,13.8,7.6000000000000005,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),MSBAINGO-KELM,4.0,11.6,7.6,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),ExtraTrees_balanced,3.2,10.6,7.3999999999999995,10.316121029759566,False
f2,HistGB,MSBAINGO-KELM,4.2,11.6,7.3999999999999995,10.316121029759566,False
f2,RF_balanced,INGO-KELM,6.8,14.2,7.3999999999999995,10.316121029759566,False
f2,EasyEnsemble,NGO-KELM,6.2,13.4,7.2,10.316121029759566,False
f2,EasyEnsemble,PBMSBAINGO-KELM,6.2,13.4,7.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),LR_balanced,4.0,11.2,7.199999999999999,10.316121029759566,False
f2,RF_balanced,TIS_NGO-KELM,6.8,13.8,7.000000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),BalancedRF,1.0,8.0,7.0,10.316121029759566,False
f2,HistGB,LR_balanced,4.2,11.2,6.999999999999999,10.316121029759566,False
f2,RF_balanced,NGO-KELM,6.8,13.4,6.6000000000000005,10.316121029759566,False
f2,RF_balanced,PBMSBAINGO-KELM,6.8,13.4,6.6000000000000005,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),ExtraTrees_balanced,4.0,10.6,6.6,10.316121029759566,False
f2,HistGB,ExtraTrees_balanced,4.2,10.6,6.3999999999999995,10.316121029759566,False
f2,BalancedRF,INGO-KELM,8.0,14.2,6.199999999999999,10.316121029759566,False
f2,BalancedRF,TIS_NGO-KELM,8.0,13.8,5.800000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),RF_balanced,1.0,6.8,5.8,10.316121029759566,False
f2,EasyEnsemble,BAINGO-KELM,6.2,11.8,5.6000000000000005,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),BalancedRF,2.6,8.0,5.4,10.316121029759566,False
f2,BalancedRF,NGO-KELM,8.0,13.4,5.4,10.316121029759566,False
f2,BalancedRF,PBMSBAINGO-KELM,8.0,13.4,5.4,10.316121029759566,False
f2,EasyEnsemble,MSBAINGO-KELM,6.2,11.6,5.3999999999999995,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),EasyEnsemble,1.0,6.2,5.2,10.316121029759566,False
f2,RF_balanced,BAINGO-KELM,6.8,11.8,5.000000000000001,10.316121029759566,False
f2,EasyEnsemble,LR_balanced,6.2,11.2,4.999999999999999,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),BalancedRF,3.2,8.0,4.8,10.316121029759566,False
f2,RF_balanced,MSBAINGO-KELM,6.8,11.6,4.8,10.316121029759566,False
f2,EasyEnsemble,ExtraTrees_balanced,6.2,10.6,4.3999999999999995,10.316121029759566,False
f2,RF_balanced,LR_balanced,6.8,11.2,4.3999999999999995,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),RF_balanced,2.6,6.8,4.199999999999999,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),BalancedRF,4.0,8.0,4.0,10.316121029759566,False
f2,BalancedRF,BAINGO-KELM,8.0,11.8,3.8000000000000007,10.316121029759566,False
f2,HistGB,BalancedRF,4.2,8.0,3.8,10.316121029759566,False
f2,RF_balanced,ExtraTrees_balanced,6.8,10.6,3.8,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),EasyEnsemble,2.6,6.2,3.6,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),RF_balanced,3.2,6.8,3.5999999999999996,10.316121029759566,False
f2,BalancedRF,MSBAINGO-KELM,8.0,11.6,3.5999999999999996,10.316121029759566,False
f2,ExtraTrees_balanced,INGO-KELM,10.6,14.2,3.5999999999999996,10.316121029759566,False
f2,ExtraTrees_balanced,TIS_NGO-KELM,10.6,13.8,3.200000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),HistGB,1.0,4.2,3.2,10.316121029759566,False
f2,BalancedRF,LR_balanced,8.0,11.2,3.1999999999999993,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(MCC-guarded),1.0,4.0,3.0,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),EasyEnsemble,3.2,6.2,3.0,10.316121029759566,False
f2,LR_balanced,INGO-KELM,11.2,14.2,3.0,10.316121029759566,False
f2,ExtraTrees_balanced,NGO-KELM,10.6,13.4,2.8000000000000007,10.316121029759566,False
f2,ExtraTrees_balanced,PBMSBAINGO-KELM,10.6,13.4,2.8000000000000007,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),RF_balanced,4.0,6.8,2.8,10.316121029759566,False
f2,LR_balanced,TIS_NGO-KELM,11.2,13.8,2.6000000000000014,10.316121029759566,False
f2,HistGB,RF_balanced,4.2,6.8,2.5999999999999996,10.316121029759566,False
f2,BalancedRF,ExtraTrees_balanced,8.0,10.6,2.5999999999999996,10.316121029759566,False
f2,MSBAINGO-KELM,INGO-KELM,11.6,14.2,2.5999999999999996,10.316121029759566,False
f2,BAINGO-KELM,INGO-KELM,11.8,14.2,2.3999999999999986,10.316121029759566,False
f2,LR_balanced,NGO-KELM,11.2,13.4,2.200000000000001,10.316121029759566,False
f2,LR_balanced,PBMSBAINGO-KELM,11.2,13.4,2.200000000000001,10.316121029759566,False
f2,MSBAINGO-KELM,TIS_NGO-KELM,11.6,13.8,2.200000000000001,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(F2-mode),1.0,3.2,2.2,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),EasyEnsemble,4.0,6.2,2.2,10.316121029759566,False
f2,HistGB,EasyEnsemble,4.2,6.2,2.0,10.316121029759566,False
f2,BAINGO-KELM,TIS_NGO-KELM,11.8,13.8,2.0,10.316121029759566,False
f2,MSBAINGO-KELM,NGO-KELM,11.6,13.4,1.8000000000000007,10.316121029759566,False
f2,MSBAINGO-KELM,PBMSBAINGO-KELM,11.6,13.4,1.8000000000000007,10.316121029759566,False
f2,EasyEnsemble,BalancedRF,6.2,8.0,1.7999999999999998,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-HGBKELM(Sensitivity-mode),1.0,2.6,1.6,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),HistGB,2.6,4.2,1.6,10.316121029759566,False
f2,BAINGO-KELM,NGO-KELM,11.8,13.4,1.5999999999999996,10.316121029759566,False
f2,BAINGO-KELM,PBMSBAINGO-KELM,11.8,13.4,1.5999999999999996,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-HGBKELM(MCC-guarded),2.6,4.0,1.4,10.316121029759566,False
f2,ExtraTrees_balanced,BAINGO-KELM,10.6,11.8,1.200000000000001,10.316121029759566,False
f2,RF_balanced,BalancedRF,6.8,8.0,1.2000000000000002,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),HistGB,3.2,4.2,1.0,10.316121029759566,False
f2,ExtraTrees_balanced,MSBAINGO-KELM,10.6,11.6,1.0,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-HGBKELM(MCC-guarded),3.2,4.0,0.7999999999999998,10.316121029759566,False
f2,NGO-KELM,INGO-KELM,13.4,14.2,0.7999999999999989,10.316121029759566,False
f2,PBMSBAINGO-KELM,INGO-KELM,13.4,14.2,0.7999999999999989,10.316121029759566,False
f2,LR_balanced,BAINGO-KELM,11.2,11.8,0.6000000000000014,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-HGBKELM(F2-mode),2.6,3.2,0.6000000000000001,10.316121029759566,False
f2,EasyEnsemble,RF_balanced,6.2,6.8,0.5999999999999996,10.316121029759566,False
f2,ExtraTrees_balanced,LR_balanced,10.6,11.2,0.5999999999999996,10.316121029759566,False
f2,LR_balanced,MSBAINGO-KELM,11.2,11.6,0.40000000000000036,10.316121029759566,False
f2,NGO-KELM,TIS_NGO-KELM,13.4,13.8,0.40000000000000036,10.316121029759566,False
f2,PBMSBAINGO-KELM,TIS_NGO-KELM,13.4,13.8,0.40000000000000036,10.316121029759566,False
f2,TIS_NGO-KELM,INGO-KELM,13.8,14.2,0.3999999999999986,10.316121029759566,False
f2,MSBAINGO-KELM,BAINGO-KELM,11.6,11.8,0.20000000000000107,10.316121029759566,False
f2,PBMSBAINGO-HGBKELM(MCC-guarded),HistGB,4.0,4.2,0.20000000000000018,10.316121029759566,False
f2,NGO-KELM,PBMSBAINGO-KELM,13.4,13.4,0.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Triad-mode),TIS_NGO-KELM,1.0,14.8,13.8,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),PBMSBAINGO-KELM,1.0,14.2,13.2,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),TIS_NGO-KELM,2.0,14.8,12.8,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),PBMSBAINGO-KELM,2.0,14.2,12.2,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),INGO-KELM,1.0,13.0,12.0,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(F2-mode),TIS_NGO-KELM,3.2,14.8,11.600000000000001,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),MSBAINGO-KELM,1.0,12.4,11.4,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),BAINGO-KELM,1.0,12.0,11.0,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),INGO-KELM,2.0,13.0,11.0,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(F2-mode),PBMSBAINGO-KELM,3.2,14.2,11.0,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),NGO-KELM,1.0,11.6,10.6,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),MSBAINGO-KELM,2.0,12.4,10.4,10.316121029759566,True
gmean,PBMSBAINGO-HGBKELM(Triad-mode),LR_balanced,1.0,11.0,10.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(Sensitivity-mode),BAINGO-KELM,2.0,12.0,10.0,10.316121029759566,False
gmean,PBMSBAINGO-HGBKELM(F2-mode),INGO-KELM,3.2,13.0,9.8,10.316121029759566,False
gmean,HistGB,TIS_NGO-KELM,5.0,14.8,9.8,10.316121029759566,False
