dataset,method,policy,auc_deduplicated,ap_deduplicated,mcc_deduplicated,balanced_accuracy_deduplicated,brier_deduplicated,log_loss_deduplicated,auc_raw,ap_raw,mcc_raw,balanced_accuracy_raw,brier_raw,log_loss_raw,delta_raw_minus_deduplicated_auc,delta_raw_minus_deduplicated_ap,delta_raw_minus_deduplicated_mcc,delta_raw_minus_deduplicated_balanced_accuracy,delta_raw_minus_deduplicated_brier,delta_raw_minus_deduplicated_log_loss
PONE2016_h2_target_Europe,HistGB,triad,0.7586867305061559,0.7659263943051273,0.4333687592941463,0.6971272229822161,0.2031484278929452,0.5928567766779367,0.7608166576527853,0.7657345039050575,0.4353253917718463,0.6976744186046511,0.2022770980878242,0.590935722264338,0.0021299271466294067,-0.00019189040006983848,0.0019566324777000044,0.0005471956224349928,-0.0008713298051210017,-0.0019210544135986884
PONE2016_h2_target_Europe,KELM_PBMSBAINGO,triad,0.7857729138166896,0.8042652058100974,0.3816409239083795,0.6680574555403557,0.1895241831656516,0.5528271779762554,0.7612222823147647,0.7489256522683667,0.339979200811319,0.6569767441860465,0.2137470344860914,0.6587817938251753,-0.024550631501924824,-0.0553395535417307,-0.04166172309706051,-0.011080711354309214,0.024222851320439803,0.10595461584891996
PONE2016_h2_target_Europe,KELM_score_fusion,triad,0.7586867305061559,0.7659263943051273,0.4333687592941463,0.6971272229822161,0.2031484278929452,0.5928567766779367,0.7608166576527853,0.7657345039050575,0.4353253917718463,0.6976744186046511,0.2022770980878242,0.590935722264338,0.0021299271466294067,-0.00019189040006983848,0.0019566324777000044,0.0005471956224349928,-0.0008713298051210017,-0.0019210544135986884
PONE2016_h2_target_Europe,KELM_risk_feature,triad,0.7878248974008208,0.8063432283705269,0.4314114278082342,0.6857045143638851,0.1965289855598736,0.5720999385883234,0.821930773391022,0.7954660080386043,0.4305365282152718,0.6918604651162791,0.1767237432070866,0.52992677701363,0.034105875990201207,-0.01087722033192251,-0.0008748995929624415,0.006155950752393946,-0.019805242352787022,-0.04217316157469342
PONE2016_h2_target_Europe,Full_PBMSBAINGO,triad,0.8031463748290013,0.8165036987256955,0.4548746532871806,0.703077975376197,0.1905928735520939,0.5578737709129995,0.7957003785830179,0.7744002825975518,0.4566296511374095,0.7034883720930233,0.1916366687465447,0.5634282151648657,-0.007445996245983411,-0.04210341612814372,0.0017549978502289232,0.0004103967168263001,0.0010437951944508028,0.005554444251866242
PONE2016_h2_target_Europe,Uncertainty_gated_fusion,triad,0.7878248974008208,0.8063432283705269,0.4314114278082342,0.6857045143638851,0.1965289855598736,0.5720999385883234,0.821930773391022,0.7954660080386043,0.4305365282152718,0.6918604651162791,0.1767237432070866,0.52992677701363,0.034105875990201207,-0.01087722033192251,-0.0008748995929624415,0.006155950752393946,-0.019805242352787022,-0.04217316157469342
PONE2016_h2_target_Europe,Full_random_search,triad,0.7883720930232558,0.7664404580031265,0.4388466419635192,0.6971956224350205,0.1989969409655445,0.5879868721124674,0.7781233098972418,0.7675083826272207,0.4305365282152718,0.6918604651162791,0.2012135222343765,0.5914725112791833,-0.010248783126014072,0.0010679246240941076,-0.008310113748247416,-0.005335157318741457,0.0022165812688320075,0.003485639166715959
PONE2016_h2_target_Europe,Balanced_logistic,triad,0.8034199726402189,0.7869736092025974,0.4513972721892684,0.6973324213406292,0.1842761516432651,0.6119615702880244,0.8039480800432667,0.7863033682288473,0.4530515222556722,0.6976744186046512,0.1835912621499642,0.6101372236372576,0.0005281074030477617,-0.0006702409737501247,0.0016542500664037951,0.00034199726402195374,-0.0006848894933008942,-0.001824346650766806
PONE2016_h2_target_North_America,HistGB,triad,0.8588640275387264,0.8572195571594456,0.4869825130371185,0.7427567412507171,0.1666717408440504,0.5075168862349643,0.8572845804988662,0.8670687286820407,0.5035811945967268,0.75,0.1720515752417281,0.5142443512272947,-0.0015794470398601268,0.009849171522595013,0.016598681559608308,0.007243258749282888,0.005379834397677696,0.006727464992330456
PONE2016_h2_target_North_America,KELM_PBMSBAINGO,triad,0.8587205966724039,0.8172701525102921,0.2582545181528334,0.5889988525530694,0.1645681437865216,0.4956573507313623,0.7714002267573696,0.8010575631716188,0.3645852384289452,0.6726190476190477,0.2049749792142551,0.6280123101094944,-0.08732036991503422,-0.01621258933867331,0.10633072027611179,0.08362019506597829,0.04040683542773349,0.13235495937813213
PONE2016_h2_target_North_America,KELM_score_fusion,triad,0.8587205966724039,0.8172701525102921,0.2582545181528334,0.5889988525530694,0.1643774798067076,0.4950001222573891,0.7714002267573696,0.8010575631716188,0.3645852384289452,0.6726190476190477,0.2063277482910272,0.6326788362550668,-0.08732036991503422,-0.01621258933867331,0.10633072027611179,0.08362019506597829,0.0419502684843196,0.13767871399767773
PONE2016_h2_target_North_America,KELM_risk_feature,triad,0.8578600114744692,0.8815502956824379,0.5113767730447555,0.7200946643717728,0.1505585168205483,0.5121315190840847,0.921626984126984,0.9206745772612112,0.5046758112081504,0.7202380952380952,0.1220165487804755,0.3956295841107152,0.06376697265251474,0.039124281578773235,-0.006700961836605068,0.00014343086632240265,-0.028541968040072793,-0.11650193497336953
PONE2016_h2_target_North_America,Full_PBMSBAINGO,triad,0.8690476190476191,0.8614073842050292,0.5422215370652378,0.7669965576592083,0.147958991016064,0.4585750740134369,0.842687074829932,0.8490051198319515,0.4543618416377111,0.6845238095238095,0.1689768734585409,0.5072952471065223,-0.026360544217687076,-0.012402264373077676,-0.0878596954275267,-0.08247274813539873,0.021017882442476904,0.048720173093085406
PONE2016_h2_target_North_America,Uncertainty_gated_fusion,triad,0.8578600114744692,0.8815502956824379,0.5113767730447555,0.7200946643717728,0.1505585168205483,0.5121315190840847,0.921626984126984,0.9206745772612112,0.5046758112081504,0.7202380952380952,0.1220165487804755,0.3956295841107152,0.06376697265251474,0.039124281578773235,-0.006700961836605068,0.00014343086632240265,-0.028541968040072793,-0.11650193497336953
PONE2016_h2_target_North_America,Full_random_search,triad,0.877653471026965,0.8830771991262653,0.4240633960069448,0.6606425702811245,0.1499059954674418,0.4557826628497629,0.8706065759637187,0.8833036487010397,0.5508613944197478,0.7619047619047619,0.150150257027493,0.4507652667661468,-0.0070468950632462946,0.0002264495747744677,0.12679799841280298,0.10126219162363737,0.0002442615600511955,-0.005017396083616066
PONE2016_h2_target_North_America,Balanced_logistic,triad,0.8073723465289729,0.8534941456966716,0.4841527384287163,0.731425702811245,0.1786813389158996,0.5959567668017041,0.8068310657596371,0.8528008169831593,0.507489487476225,0.7440476190476191,0.1769927661078978,0.5997167552036056,-0.0005412807693357946,-0.0006933287135122423,0.02333674904750871,0.012621916236374098,-0.0016885728080018036,0.003759988401901504
