dataset,seed,method,mcc,sensitivity,specificity,precision,f2,ap,tp,fp,tn,fn
2year.arff,1,Balanced_forest_reference,0.1743081514341295,0.425,0.8792633015006821,0.1259259259259259,0.288135593220339,0.1993943282468547,51.0,354.0,2578.0,69.0
2year.arff,1,EasyEnsemble_reference,0.2418470365336662,0.6083333333333333,0.8533424283765347,0.1451292246520874,0.3713123092573753,0.2439815611809176,73.0,430.0,2502.0,47.0
2year.arff,2,Balanced_logistic,0.1372272246298518,0.4666666666666667,0.8141200545702592,0.0931780366056572,0.2590194264569843,0.1219472113375975,56.0,545.0,2387.0,64.0
2year.arff,2,Random_forest,0.1873718628798744,0.4833333333333333,0.8622100954979536,0.1255411255411255,0.3078556263269639,0.1951584540876013,58.0,404.0,2528.0,62.0
2year.arff,2,Extra_trees,0.0732380847750543,0.3333333333333333,0.8148021828103683,0.0686106346483705,0.1881467544684854,0.0900954180472424,40.0,543.0,2389.0,80.0
2year.arff,2,HistGB_fair,0.3289050936276118,0.5916666666666667,0.9188267394270124,0.2297734627831715,0.4499366286438531,0.4262033830268735,71.0,238.0,2694.0,49.0
2year.arff,2,Balanced_forest_reference,0.1374374662021498,0.475,0.8090040927694406,0.0923824959481361,0.259799453053783,0.1601648058156165,57.0,560.0,2372.0,63.0
2year.arff,2,EasyEnsemble_reference,0.1703912568125874,0.4083333333333333,0.8840381991814461,0.1259640102827763,0.2819332566168009,0.1085994803254348,49.0,340.0,2592.0,71.0
2year.arff,3,Balanced_logistic,0.1467151682135608,0.3333333333333333,0.9010914051841746,0.1212121212121212,0.2469135802469136,0.136045244259894,40.0,290.0,2642.0,80.0
2year.arff,3,Random_forest,0.2704340948917444,0.525,0.9082537517053206,0.1897590361445783,0.3879310344827586,0.3456483881768323,63.0,269.0,2663.0,57.0
2year.arff,3,Extra_trees,0.1498131506247282,0.3833333333333333,0.8778990450204639,0.1138613861386138,0.2601809954751131,0.1131476249636628,46.0,358.0,2574.0,74.0
2year.arff,3,HistGB_fair,0.4760068783713105,0.55,0.9727148703956344,0.4520547945205479,0.5271565495207667,0.5549277314268108,66.0,80.0,2852.0,54.0
2year.arff,3,Balanced_forest_reference,0.2220512150009025,0.475,0.895293315143247,0.1565934065934066,0.3376777251184833,0.26357324056192,57.0,307.0,2625.0,63.0
