dataset,seed,method,fit_n,validation_n,test_n,test_positive,threshold_policy,threshold,validation_threshold_utility,fit_seconds,gmean,sensitivity,specificity,precision,f1,f05,f2,mcc,triad_score,balanced_accuracy,fpr,predicted_positive_rate,tp,fp,tn,fn,ap,auc
1year.arff,6,Random_forest,2800,1230,2109,81,triad,0.20170128660707537,0.6169120220233495,0.6707321000000022,0.7556009964291079,0.6049382716049383,0.9437869822485208,0.3006134969325153,0.40163934426229503,0.33424283765347884,0.5030800821355236,0.3948809771426419,0.6086258847385578,0.7743626269267295,0.05621301775147929,0.07728781412991939,49.0,114.0,1914.0,32.0,0.3664114198356709,0.9023820829376384
1year.arff,6,Extra_trees,2800,1230,2109,81,triad,0.27689338424665094,0.48607561512115866,0.30924579999999935,0.6346117873793699,0.4567901234567901,0.8816568047337278,0.13357400722021662,0.20670391061452517,0.15559293523969725,0.30782029950083195,0.19255927507256304,0.4264422607770763,0.6692234640952589,0.11834319526627218,0.13134186818397345,37.0,240.0,1788.0,44.0,0.16089320920185252,0.7986765529500572
1year.arff,6,HistGB_fair,2800,1230,2109,81,triad,0.006843924962910831,0.7434795390849793,2.942255099999997,0.8720741410693558,0.7901234567901234,0.9625246548323472,0.45714285714285713,0.579185520361991,0.4992199687987519,0.6896551724137931,0.5810072948187898,0.7616628982875324,0.8763240558112353,0.03747534516765286,0.06638217164532954,64.0,76.0,1952.0,17.0,0.7279955599556125,0.9593103952078311
1year.arff,6,Balanced_forest_reference,2800,1230,2109,81,triad,0.5474045007032351,0.5012516426990552,0.22774030000000067,0.7310565736869434,0.5925925925925926,0.9018737672583826,0.19433198380566802,0.2926829268292683,0.2245088868101029,0.4203152364273205,0.29551186330696866,0.540537254208007,0.7472331799254877,0.09812623274161736,0.11711711711711711,48.0,199.0,1829.0,33.0,0.26094259271778764,0.8647667226727056
1year.arff,6,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5142636714278845,0.5619560869712849,1.442413000000002,0.746865431210929,0.6049382716049383,0.9220907297830375,0.23671497584541062,0.3402777777777778,0.2695269526952695,0.4613935969868173,0.3404243132340042,0.5747801512639935,0.7635145006939879,0.07790927021696252,0.09815078236130868,49.0,158.0,1870.0,32.0,0.24759120717403074,0.8804240631163707
1year.arff,7,Balanced_logistic,2800,1230,2109,81,triad,0.6686275431763841,0.4825532446962307,0.06923679999999877,0.6095301607190263,0.41975308641975306,0.8851084812623274,0.12734082397003746,0.19540229885057475,0.14795474325500435,0.2876480541455161,0.176188971230226,0.40301669764144626,0.6524307838410403,0.11489151873767259,0.12660028449502134,34.0,233.0,1795.0,47.0,0.13778729693200176,0.7664304672851681
1year.arff,7,Random_forest,2800,1230,2109,81,triad,0.16476482478958532,0.5646400638691395,0.6754001000000045,0.7394397406851105,0.6049382716049383,0.9038461538461539,0.20081967213114754,0.3015384615384616,0.23178807947019864,0.43133802816901406,0.30568629067466235,0.5508421683239331,0.754392212725546,0.09615384615384616,0.11569464201043149,49.0,195.0,1833.0,32.0,0.42023462458846517,0.8660786032580905
1year.arff,7,Extra_trees,2800,1230,2109,81,triad,0.2828179578293458,0.4228967835930301,0.30554499999999507,0.6427706542841037,0.4691358024691358,0.8806706114398422,0.1357142857142857,0.21052631578947367,0.15820149875104078,0.31456953642384106,0.19811546796569338,0.43418700598815363,0.6749032069544889,0.11932938856015779,0.1327643432906591,38.0,242.0,1786.0,43.0,0.19372772099065422,0.7603915552633501
1year.arff,7,HistGB_fair,2800,1230,2109,81,triad,0.04882720935744222,0.7096273600961815,2.9604472999999984,0.7669481803136601,0.5925925925925926,0.992603550295858,0.7619047619047619,0.6666666666666666,0.7207207207207207,0.6201550387596899,0.6606247652405011,0.7297301625487272,0.7925980714442253,0.0073964497041420114,0.029871977240398292,48.0,15.0,2013.0,33.0,0.6804796969923271,0.9263398836048408
1year.arff,7,Balanced_forest_reference,2800,1230,2109,81,triad,0.5201707805907172,0.4853629970977697,0.2469055000000111,0.6860183525408701,0.5432098765432098,0.866370808678501,0.13968253968253969,0.22222222222222224,0.16405667412378822,0.3442879499217527,0.22082561913485352,0.47015418731237185,0.7047903426108555,0.133629191321499,0.14935988620199148,44.0,271.0,1757.0,37.0,0.31385920940997913,0.8180869067621204
1year.arff,7,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5156369608548352,0.5281155403813006,1.4498444999999975,0.7316558823600922,0.5925925925925926,0.903353057199211,0.19672131147540983,0.29538461538461536,0.22705771050141907,0.4225352112676056,0.29797253704587856,0.5423296208510068,0.7479728248959018,0.09664694280078895,0.11569464201043149,48.0,196.0,1832.0,33.0,0.30182809285270984,0.8671561107458543
1year.arff,8,Balanced_logistic,2800,1230,2109,81,triad,0.7256422273710369,0.4924576827437006,0.10587610000000325,0.6058135092878411,0.3950617283950617,0.9289940828402367,0.18181818181818182,0.24902723735408555,0.20382165605095542,0.32,0.2251770046869138,0.4355793826347262,0.6620279056176492,0.07100591715976332,0.08345187292555714,32.0,144.0,1884.0,49.0,0.16417025832457519,0.7422017678427935
1year.arff,8,Random_forest,2800,1230,2109,81,triad,0.16795914760468544,0.6954949078763807,0.6633884999999964,0.7811049339347598,0.6666666666666666,0.9151873767258383,0.23893805309734514,0.3517915309446254,0.27411167512690354,0.4909090909090909,0.3615023807958652,0.6041943243916407,0.7909270216962525,0.08481262327416174,0.10715979137031768,54.0,172.0,1856.0,27.0,0.34724445783108726,0.8692867752696812
1year.arff,8,Extra_trees,2800,1230,2109,81,triad,0.3196472482412989,0.4924576827437006,0.31421720000000164,0.5430209893473684,0.32098765432098764,0.9186390532544378,0.13612565445026178,0.1911764705882353,0.15384615384615385,0.2524271844660194,0.16046145297086575,0.3616884590181925,0.6198133537877127,0.08136094674556213,0.0905642484589853,26.0,165.0,1863.0,55.0,0.15447236728888009,0.7405459371271337
1year.arff,8,HistGB_fair,2800,1230,2109,81,triad,0.013277608390613208,0.7755320926046542,2.9158781000000005,0.8079975003378836,0.6666666666666666,0.9792899408284024,0.5625,0.6101694915254238,0.5806451612903226,0.6428571428571429,0.59555561801479,0.7298732608421157,0.8229783037475344,0.020710059171597635,0.04551920341394026,54.0,42.0,1986.0,27.0,0.6947979057111827,0.9303516205225607
1year.arff,8,Balanced_forest_reference,2800,1230,2109,81,triad,0.5562378340365683,0.5545355750859998,0.24259579999998948,0.6641691108349397,0.48148148148148145,0.9161735700197239,0.18660287081339713,0.2689655172413793,0.2126499454743729,0.3658536585365853,0.2557602483656791,0.4832035660391965,0.6988275257506027,0.08382642998027613,0.0990990990990991,39.0,170.0,1858.0,42.0,0.25027102082098934,0.8227774125210023
1year.arff,8,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5117437326431777,0.5675941048921436,1.4717063000000081,0.6987103251977882,0.5308641975308642,0.9196252465483234,0.2087378640776699,0.29965156794425085,0.23756906077348064,0.4056603773584906,0.29161381829539623,0.5221566425615708,0.7252447220395939,0.08037475345167652,0.09767662399241346,43.0,163.0,1865.0,38.0,0.24073671746164718,0.8329985146224462
1year.arff,9,Balanced_logistic,2800,1230,2109,81,triad,0.6128533719439047,0.4228967835930301,0.07680990000000065,0.6464160820919329,0.48148148148148145,0.8678500986193294,0.1270358306188925,0.20103092783505155,0.14896867838044311,0.3090332805071316,0.1903565179602549,0.43006161924342706,0.6746657900504054,0.13214990138067062,0.14556661925082978,39.0,268.0,1760.0,42.0,0.13262166611569431,0.7540604378211216
1year.arff,9,Random_forest,2800,1230,2109,81,triad,0.17409687729188092,0.5675941048921436,0.6951387999999952,0.7779421259629777,0.6666666666666666,0.9077909270216963,0.22406639004149378,0.33540372670807456,0.2583732057416268,0.4778761061946903,0.3470064139642631,0.5943980285746936,0.7872287968441815,0.09220907297830375,0.11427216690374585,54.0,187.0,1841.0,27.0,0.284136904319864,0.8892663208902526
1year.arff,9,Extra_trees,2800,1230,2109,81,triad,0.2601916991245547,0.3735604813567414,0.316500199999993,0.6143153102928687,0.4444444444444444,0.849112426035503,0.10526315789473684,0.1702127659574468,0.12422360248447206,0.2702702702702703,0.15305143510279368,0.38655090539974346,0.6467784352399737,0.15088757396449703,0.16216216216216217,36.0,306.0,1722.0,45.0,0.12349869079308742,0.7441498039788639
1year.arff,9,HistGB_fair,2800,1230,2109,81,triad,0.07457078003676815,0.7824178761739702,2.9024774000000093,0.743331814977384,0.5555555555555556,0.9945759368836292,0.8035714285714286,0.656934306569343,0.7377049180327869,0.5921052631578949,0.6575889451050304,0.7135755846262493,0.7750657462195925,0.005424063116370809,0.026552868658131817,45.0,11.0,2017.0,36.0,0.7078596804446917,0.9533932354445176
1year.arff,9,Balanced_forest_reference,2800,1230,2109,81,triad,0.5574595428973279,0.49679172136616756,0.23126050000000475,0.6589654904233232,0.48148148148148145,0.9018737672583826,0.1638655462184874,0.2445141065830721,0.1887705711519845,0.3469750889679715,0.23283728486770117,0.4658641485159588,0.6916776243699321,0.09812623274161736,0.11284969179706021,39.0,199.0,1829.0,42.0,0.1748378977845673,0.824761974334624
1year.arff,9,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5133103841494077,0.5012516426990552,1.4994226999999967,0.6999333809513485,0.5432098765432098,0.9018737672583826,0.18106995884773663,0.2716049382716049,0.20892687559354228,0.3880070546737214,0.267891641347581,0.5081877497582838,0.7225418219007962,0.09812623274161736,0.11522048364153627,44.0,199.0,1829.0,37.0,0.2005571854327092,0.860745854335598
1year.arff,10,Balanced_logistic,2800,1230,2109,81,triad,0.5308143648439946,0.34725138682998846,0.08724039999999889,0.7448453557215102,0.6790123456790124,0.8170611439842209,0.12910798122065728,0.21696252465483237,0.15406162464985992,0.36666666666666664,0.23745189838704422,0.5088259961069652,0.7480367448316166,0.18293885601577908,0.2019914651493599,55.0,371.0,1657.0,26.0,0.2244125720994038,0.8140538631991623
1year.arff,10,Random_forest,2800,1230,2109,81,triad,0.1855376752554088,0.6010227295978238,0.6615028999999879,0.7914832961406953,0.6790123456790124,0.9225838264299803,0.25943396226415094,0.37542662116040953,0.2960172228202368,0.5130597014925374,0.38448548855450937,0.6221873163436877,0.8007980860544963,0.07741617357001973,0.10052157420578474,55.0,157.0,1871.0,26.0,0.4542942969512883,0.8746621374826502
1year.arff,10,Extra_trees,2800,1230,2109,81,triad,0.2695826141217328,0.4178700085245483,0.31185430000000736,0.6935727599544734,0.5555555555555556,0.8658777120315582,0.14195583596214512,0.22613065326633167,0.16679021497405486,0.3510140405616225,0.2266243995701358,0.4777091657158545,0.7107166337935569,0.1341222879684418,0.1503082029397819,45.0,272.0,1756.0,36.0,0.18097235219435961,0.7683906786470889
1year.arff,10,HistGB_fair,2800,1230,2109,81,triad,0.052136863577234856,0.7279990281242347,2.9146472000000045,0.7966771765171966,0.6419753086419753,0.9886587771203156,0.6933333333333334,0.6666666666666667,0.6824146981627297,0.6516290726817042,0.6544068240445691,0.7461122838033767,0.8153170428811454,0.011341222879684419,0.03556187766714083,52.0,23.0,2005.0,29.0,0.7004229158054186,0.9388499281661675
1year.arff,10,Balanced_forest_reference,2800,1230,2109,81,triad,0.5696902672292543,0.5147423713686665,0.23706539999999166,0.7185928463106498,0.5679012345679012,0.9092702169625246,0.2,0.2958199356913183,0.22977022977022976,0.41516245487364617,0.2941871027997923,0.5335762240932251,0.7385857257652129,0.09072978303747535,0.10905642484589853,46.0,184.0,1844.0,35.0,0.3768243608428297,0.838322132125551
1year.arff,10,EasyEnsemble_reference,2800,1230,2109,81,triad,0.5150075994939045,0.5147423713686665,1.4541167999999942,0.7469469355960912,0.6172839506172839,0.9038461538461539,0.20408163265306123,0.3067484662576687,0.235626767200754,0.43936731107205623,0.3125479470709331,0.5586829059946263,0.7605650522317189,0.09615384615384616,0.1161688003793267,50.0,195.0,1833.0,31.0,0.2598070400963969,0.8691771982370272
2year.arff,1,Balanced_logistic,2800,1400,3052,120,triad,0.5689394117071116,0.2257188114740812,0.07502049999999372,0.6469354420040412,0.5083333333333333,0.8233287858117326,0.10535405872193437,0.17453505007153078,0.12520525451559938,0.28800755429650615,0.16440580095652185,0.4097758331968151,0.665831059572533,0.1766712141882674,0.1897116644823067,61.0,518.0,2414.0,59.0,0.1358596169375,0.7148135516143701
2year.arff,1,Random_forest,2800,1400,3052,120,triad,0.16569318121814774,0.5166617923457425,0.6495998000000043,0.6842566328570833,0.5166666666666667,0.9062073669849932,0.18397626112759644,0.2713347921225383,0.2111716621253406,0.379436964504284,0.2622308344657308,0.4970200739266356,0.7114370168258299,0.09379263301500682,0.11041939711664482,62.0,275.0,2657.0,58.0,0.26949326538522594,0.8283012164620281
2year.arff,1,Extra_trees,2800,1400,3052,120,triad,0.2328891071190766,0.28101217957030994,0.3043905000000109,0.6018979569021354,0.44166666666666665,0.8202592087312415,0.09137931034482759,0.1514285714285714,0.10860655737704919,0.25,0.12975161736885063,0.36089941059788216,0.6309629376989541,0.17974079126875853,0.19003931847968544,53.0,527.0,2405.0,67.0,0.12238068576864944,0.7290458731241474
2year.arff,1,HistGB_fair,2800,1400,3052,120,triad,0.04797906442326393,0.662257895233031,2.989014900000001,0.6555808618963536,0.43333333333333335,0.9918144611186903,0.6842105263157895,0.5306122448979592,0.6132075471698113,0.4676258992805755,0.5302604998251996,0.6108209679585628,0.7125738972260118,0.008185538881309686,0.02490170380078637,52.0,24.0,2908.0,68.0,0.5588581459230042,0.8824863574351978
2year.arff,1,Balanced_forest_reference,2800,1400,3052,120,triad,0.5090997187060478,0.47072328323859064,0.24248880000000383,0.6112993564022376,0.425,0.8792633015006821,0.1259259259259259,0.19428571428571426,0.14655172413793102,0.288135593220339,0.17430815143412956,0.4023541867076366,0.6521316507503411,0.12073669849931787,0.13269986893840105,51.0,354.0,2578.0,69.0,0.19939432824685477,0.7994656662119144
