dataset,seed,method,cost_ratio,normalized_cost
1year.arff,8,HistGB_fair,20,0.15953947368421054
1year.arff,8,HistGB_fair,50,0.22902270483711748
1year.arff,8,Balanced_forest_reference,1,0.10052157420578474
1year.arff,8,Balanced_forest_reference,2,0.11598173515981736
1year.arff,8,Balanced_forest_reference,5,0.15618577887381832
1year.arff,8,Balanced_forest_reference,10,0.20789288231148698
1year.arff,8,Balanced_forest_reference,20,0.2768640350877193
1year.arff,8,Balanced_forest_reference,50,0.37347811780190854
1year.arff,8,EasyEnsemble_reference,1,0.0953058321479374
1year.arff,8,EasyEnsemble_reference,2,0.1091324200913242
1year.arff,8,EasyEnsemble_reference,5,0.14508836826962598
1year.arff,8,EasyEnsemble_reference,10,0.19133192389006343
1year.arff,8,EasyEnsemble_reference,20,0.25301535087719296
1year.arff,8,EasyEnsemble_reference,50,0.3394208621256992
1year.arff,9,Balanced_logistic,1,0.14698909435751542
1year.arff,9,Balanced_logistic,2,0.16073059360730593
1year.arff,9,Balanced_logistic,5,0.19646526921496096
1year.arff,9,Balanced_logistic,10,0.24242424242424243
1year.arff,9,Balanced_logistic,20,0.30372807017543857
1year.arff,9,Balanced_logistic,50,0.38960184271141823
1year.arff,9,Random_forest,1,0.10146989094357516
1year.arff,9,Random_forest,2,0.11004566210045662
1year.arff,9,Random_forest,5,0.13234689683518291
1year.arff,9,Random_forest,10,0.16102889358703312
1year.arff,9,Random_forest,20,0.1992872807017544
1year.arff,9,Random_forest,50,0.2528792365909839
1year.arff,9,Extra_trees,1,0.16642958748221906
1year.arff,9,Extra_trees,2,0.18082191780821918
1year.arff,9,Extra_trees,5,0.218249075215783
1year.arff,9,Extra_trees,10,0.266384778012685
1year.arff,9,Extra_trees,20,0.3305921052631579
1year.arff,9,Extra_trees,50,0.420533070088845
1year.arff,9,HistGB_fair,1,0.022285443338074917
1year.arff,9,HistGB_fair,2,0.03789954337899543
1year.arff,9,HistGB_fair,5,0.07850390464447185
1year.arff,9,HistGB_fair,10,0.13072586328400282
1year.arff,9,HistGB_fair,20,0.20038377192982457
1year.arff,9,HistGB_fair,50,0.2979598552155314
1year.arff,9,Balanced_forest_reference,1,0.11427216690374585
1year.arff,9,Balanced_forest_reference,2,0.12922374429223743
1year.arff,9,Balanced_forest_reference,5,0.16810521989313604
1year.arff,9,Balanced_forest_reference,10,0.21811134601832277
1year.arff,9,Balanced_forest_reference,20,0.28481359649122806
1year.arff,9,Balanced_forest_reference,50,0.3782494241526818
1year.arff,9,EasyEnsemble_reference,1,0.1119013750592698
1year.arff,9,EasyEnsemble_reference,2,0.12465753424657534
1year.arff,9,EasyEnsemble_reference,5,0.15782983970406905
1year.arff,9,EasyEnsemble_reference,10,0.20049330514446795
1year.arff,9,EasyEnsemble_reference,20,0.2574013157894737
1year.arff,9,EasyEnsemble_reference,50,0.33711747285291216
1year.arff,10,Balanced_logistic,1,0.18824087245139876
1year.arff,10,Balanced_logistic,2,0.19315068493150686
1year.arff,10,Balanced_logistic,5,0.2059186189889026
1year.arff,10,Balanced_logistic,10,0.22233967582804792
1year.arff,10,Balanced_logistic,20,0.24424342105263158
1year.arff,10,Balanced_logistic,50,0.27492596248766044
1year.arff,10,Random_forest,1,0.08677098150782361
1year.arff,10,Random_forest,2,0.0954337899543379
1year.arff,10,Random_forest,5,0.11796136457048911
1year.arff,10,Random_forest,10,0.14693446088794926
1year.arff,10,Random_forest,20,0.1855811403508772
1year.arff,10,Random_forest,50,0.2397170121750576
1year.arff,10,Extra_trees,1,0.14604077761972498
1year.arff,10,Extra_trees,2,0.15707762557077626
1year.arff,10,Extra_trees,5,0.18577887381833127
1year.arff,10,Extra_trees,10,0.222692036645525
1year.arff,10,Extra_trees,20,0.2719298245614035
1year.arff,10,Extra_trees,50,0.34090161237249095
1year.arff,10,HistGB_fair,1,0.024656235182550973
1year.arff,10,HistGB_fair,2,0.036986301369863014
1year.arff,10,HistGB_fair,5,0.0690505548705302
1year.arff,10,HistGB_fair,10,0.11028893587033121
1year.arff,10,HistGB_fair,20,0.16529605263157895
1year.arff,10,HistGB_fair,50,0.24234945705824285
1year.arff,10,Balanced_forest_reference,1,0.10384068278805121
1year.arff,10,Balanced_forest_reference,2,0.11598173515981736
1year.arff,10,Balanced_forest_reference,5,0.14755445951500207
1year.arff,10,Balanced_forest_reference,10,0.18816067653276955
1year.arff,10,Balanced_forest_reference,20,0.24232456140350878
1year.arff,10,Balanced_forest_reference,50,0.3181967752550181
1year.arff,10,EasyEnsemble_reference,1,0.10715979137031768
1year.arff,10,EasyEnsemble_reference,2,0.11735159817351598
1year.arff,10,EasyEnsemble_reference,5,0.14385532264693793
1year.arff,10,EasyEnsemble_reference,10,0.17794221282593375
1year.arff,10,EasyEnsemble_reference,20,0.22341008771929824
1year.arff,10,EasyEnsemble_reference,50,0.28710102007239224
2year.arff,1,Balanced_logistic,1,0.18905635648754915
2year.arff,1,Balanced_logistic,2,0.2005044136191677
2year.arff,1,Balanced_logistic,5,0.23018120045300114
2year.arff,1,Balanced_logistic,10,0.2681510164569216
2year.arff,1,Balanced_logistic,20,0.3184546136534134
2year.arff,1,Balanced_logistic,50,0.3882669055082848
2year.arff,1,Random_forest,1,0.10910878112712975
2year.arff,1,Random_forest,2,0.12326607818411098
2year.arff,1,Random_forest,5,0.1599660249150623
2year.arff,1,Random_forest,10,0.2069215876089061
2year.arff,1,Random_forest,20,0.2691297824456114
2year.arff,1,Random_forest,50,0.35546350201522614
2year.arff,1,Extra_trees,1,0.1946264744429882
2year.arff,1,Extra_trees,2,0.2083858764186633
2year.arff,1,Extra_trees,5,0.24405436013590034
2year.arff,1,Extra_trees,10,0.2896902226524685
2year.arff,1,Extra_trees,20,0.35015003750937734
2year.arff,1,Extra_trees,50,0.43405732198835645
2year.arff,1,HistGB_fair,1,0.03014416775884666
2year.arff,1,HistGB_fair,2,0.05044136191677175
2year.arff,1,HistGB_fair,5,0.10305775764439411
2year.arff,1,HistGB_fair,10,0.17037754114230397
2year.arff,1,HistGB_fair,20,0.2595648912228057
2year.arff,1,HistGB_fair,50,0.38334079713390057
2year.arff,1,Balanced_forest_reference,1,0.13859764089121887
2year.arff,1,Balanced_forest_reference,2,0.15510718789407313
2year.arff,1,Balanced_forest_reference,5,0.19790486976217442
2year.arff,1,Balanced_forest_reference,10,0.2526621490803485
2year.arff,1,Balanced_forest_reference,20,0.3252063015753939
2year.arff,1,Balanced_forest_reference,50,0.425884460367219
2year.arff,1,EasyEnsemble_reference,1,0.15629095674967233
2year.arff,1,EasyEnsemble_reference,2,0.16519546027742749
2year.arff,1,EasyEnsemble_reference,5,0.18827859569648925
2year.arff,1,EasyEnsemble_reference,10,0.21781219748305905
2year.arff,1,EasyEnsemble_reference,20,0.2569392348087022
2year.arff,1,EasyEnsemble_reference,50,0.31124048365427676
2year.arff,2,Balanced_logistic,1,0.19954128440366972
2year.arff,2,Balanced_logistic,2,0.21216897856242117
2year.arff,2,Balanced_logistic,5,0.24490373725934314
2year.arff,2,Balanced_logistic,10,0.2867860600193611
2year.arff,2,Balanced_logistic,20,0.34227306826706677
2year.arff,2,Balanced_logistic,50,0.41927899686520376
2year.arff,2,Random_forest,1,0.1526867627785059
2year.arff,2,Random_forest,2,0.1664564943253468
2year.arff,2,Random_forest,5,0.20215175537938845
2year.arff,2,Random_forest,10,0.24782187802516942
2year.arff,2,Random_forest,20,0.3083270817704426
2year.arff,2,Random_forest,50,0.3922973578145992
2year.arff,2,Extra_trees,1,0.20412844036697247
2year.arff,2,Extra_trees,2,0.2216267339218159
2year.arff,2,Extra_trees,5,0.2669875424688562
2year.arff,2,Extra_trees,10,0.3250242013552759
2year.arff,2,Extra_trees,20,0.4019129782445611
2year.arff,2,Extra_trees,50,0.5086206896551724
2year.arff,2,HistGB_fair,1,0.09403669724770643
2year.arff,2,HistGB_fair,2,0.10592686002522068
2year.arff,2,HistGB_fair,5,0.1367497168742922
2year.arff,2,HistGB_fair,10,0.17618586640851888
2year.arff,2,HistGB_fair,20,0.22843210802700675
2year.arff,2,HistGB_fair,50,0.30094043887147337
2year.arff,2,Balanced_forest_reference,1,0.20412844036697247
2year.arff,2,Balanced_forest_reference,2,0.21626733921815888
2year.arff,2,Balanced_forest_reference,5,0.24773499433748583
2year.arff,2,Balanced_forest_reference,10,0.28799612778315586
2year.arff,2,Balanced_forest_reference,20,0.3413353338334584
2year.arff,2,Balanced_forest_reference,50,0.4153605015673981
2year.arff,2,EasyEnsemble_reference,1,0.13466579292267367
2year.arff,2,EasyEnsemble_reference,2,0.15195460277427492
2year.arff,2,EasyEnsemble_reference,5,0.19677236693091732
2year.arff,2,EasyEnsemble_reference,10,0.25411423039690223
2year.arff,2,EasyEnsemble_reference,20,0.3300825206301575
2year.arff,2,EasyEnsemble_reference,50,0.43551276309896997
2year.arff,3,Balanced_logistic,1,0.12123197903014417
2year.arff,3,Balanced_logistic,2,0.14186633039092056
2year.arff,3,Balanced_logistic,5,0.19535673839184597
2year.arff,3,Balanced_logistic,10,0.2637947725072604
2year.arff,3,Balanced_logistic,20,0.354463615903976
2year.arff,3,Balanced_logistic,50,0.4802955665024631
2year.arff,3,Random_forest,1,0.10681520314547838
2year.arff,3,Random_forest,2,0.12074401008827239
2year.arff,3,Random_forest,5,0.15685164212910532
2year.arff,3,Random_forest,10,0.20304937076476282
2year.arff,3,Random_forest,20,0.2642535633908477
2year.arff,3,Random_forest,50,0.34919390953873714
2year.arff,3,Extra_trees,1,0.14154652686762778
2year.arff,3,Extra_trees,2,0.15952080706179067
2year.arff,3,Extra_trees,5,0.20611551528878821
2year.arff,3,Extra_trees,10,0.26573088092933206
2year.arff,3,Extra_trees,20,0.3447111777944486
2year.arff,3,Extra_trees,50,0.4543215405284371
2year.arff,3,HistGB_fair,1,0.043905635648754916
2year.arff,3,HistGB_fair,2,0.05926860025220681
2year.arff,3,HistGB_fair,5,0.09909399773499433
2year.arff,3,HistGB_fair,10,0.15004840271055178
2year.arff,3,HistGB_fair,20,0.2175543885971493
2year.arff,3,HistGB_fair,50,0.31124048365427676
2year.arff,3,Balanced_forest_reference,1,0.12123197903014417
2year.arff,3,Balanced_forest_reference,2,0.13650693568726355
2year.arff,3,Balanced_forest_reference,5,0.17610419026047566
2year.arff,3,Balanced_forest_reference,10,0.22676669893514037
2year.arff,3,Balanced_forest_reference,20,0.2938859714928732
2year.arff,3,Balanced_forest_reference,50,0.38703537841468877
2year.arff,3,EasyEnsemble_reference,1,0.13925294888597642
2year.arff,3,EasyEnsemble_reference,2,0.14848675914249684
2year.arff,3,EasyEnsemble_reference,5,0.17242355605889015
2year.arff,3,EasyEnsemble_reference,10,0.20304937076476282
2year.arff,3,EasyEnsemble_reference,20,0.24362340585146286
2year.arff,3,EasyEnsemble_reference,50,0.2999328257948948
2year.arff,4,Balanced_logistic,1,0.18709043250327653
2year.arff,4,Balanced_logistic,2,0.1989281210592686
2year.arff,4,Balanced_logistic,5,0.2296149490373726
2year.arff,4,Balanced_logistic,10,0.26887705711519844
2year.arff,4,Balanced_logistic,20,0.3208927231807952
2year.arff,4,Balanced_logistic,50,0.39308105687416034
2year.arff,4,Random_forest,1,0.11664482306684142
