horizon,target_region,method,auc,ap,mcc,balanced_accuracy,brier,log_loss,ece_10,calibration_intercept,calibration_slope,absolute_intercept,absolute_slope_error
2,Asia,Full_random_search,0.8716145833333332,0.8600405059876509,0.5328929747268437,0.75,0.1540972209825401,0.48159130890854945,0.11024677376118344,0.03989350534622118,1.6405996461836725,0.03989350534622118,0.6405996461836725
2,Asia,HistGB,0.8546006944444444,0.8322420966926936,0.5843389347222367,0.78125,0.1657008508261986,0.5129137304205235,0.115476350340955,-0.0078985743333843,1.616794997651065,0.0078985743333843,0.6167949976510649
2,Asia,KELM_PBMSBAINGO,0.8792534722222222,0.8821391891440176,0.4877651412573513,0.7083333333333333,0.17890680803510714,0.5414644894805902,0.16768308126461248,-0.012357301807978515,4.04130983931111,0.012357301807978515,3.0413098393111104
2,Asia,KELM_risk_feature,0.89296875,0.8924789144985296,0.5049326487606962,0.7291666666666666,0.16372184799029754,0.508759251059662,0.18049571493144514,-0.09999867742908566,3.0314825800779883,0.09999867742908566,2.0314825800779883
2,Asia,KELM_score_fusion,0.8594618055555555,0.8535343233203134,0.5125155749883457,0.7291666666666666,0.17926932277485172,0.5427875057607997,0.14302387544361492,0.14670992871737906,3.165290171997185,0.14670992871737906,2.165290171997185
2,Asia,Uncertainty_gated_fusion,0.89296875,0.8924789144985296,0.5049326487606962,0.7291666666666666,0.16372184799029754,0.508759251059662,0.18049571493144514,-0.09999867742908566,3.0314825800779883,0.09999867742908566,2.0314825800779883
2,Europe,Balanced_logistic,0.8034199726402189,0.7869736092025974,0.4513972721892684,0.6973324213406292,0.1842761516432651,0.6119615702880244,0.1017070533224419,0.1576554542555397,0.5700643957449046,0.1576554542555397,0.42993560425509536
2,Europe,Full_PBMSBAINGO,0.7947195622435019,0.7931017101426722,0.4503280873653651,0.7052941176470588,0.19336022352345705,0.568856093918904,0.09957554680547127,0.12356467336314225,0.7681533052094668,0.12356467336314225,0.23184669479053321
2,Europe,Full_random_search,0.7744459644322845,0.7783083622663061,0.4620131774585158,0.7111354309165525,0.19894312638455378,0.5862718058988008,0.1038081274682285,0.1017235151680447,0.7282425304521802,0.1017235151680447,0.27175746954781976
2,Europe,HistGB,0.7586867305061559,0.7659263943051273,0.4333687592941463,0.6971272229822161,0.20314842789294524,0.5928567766779367,0.0666023857729545,0.0846370198775124,0.903969980012157,0.0846370198775124,0.096030019987843
2,Europe,KELM_PBMSBAINGO,0.8147742818057455,0.8057743686523852,0.4680092082082886,0.7100683994528044,0.18398757936994994,0.6006399112878164,0.1056669478415865,0.09176922723109003,0.7390638008695513,0.09176922723109003,0.26093619913044874
2,Europe,KELM_risk_feature,0.8021887824897401,0.8112900716632326,0.45693356943585856,0.7076470588235295,0.19073054483092425,0.5784695897534855,0.1099698856253449,0.13437937557083848,0.7096599736060225,0.13437937557083848,0.2903400263939775
